document_id|document_title|category|year|source_url|content_hash|duplicate_urls
DOC-LUS-021|Local Government|Constituency Development Fund (CDF) & Community Projects|2024|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/The-Local-Government-Act-No.-2-of-2019.pdf|26aa2ad0f6474d7a7355647742520c6a|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/11/The-Local-Government-Act-No.-2-of-2019-1-1.pdf
DOC-LUS-022|The Occupational Health And Safety Act, 2010|Constituency Development Fund (CDF) & Community Projects|2010|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/The-Occupational-Health-and-Safety-Act-2010.pdf|36709d9ab0849e800414a5b40dd92945|
DOC-LUS-023|Ministry Of Finance And National Development|Constituency Development Fund (CDF) & Community Projects|2022|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/EIGHTH-NATIONAL-DEVELOPMENT-PLAN-2022-2026.pdf|ccc8493b001b11de167c88508cc9b070|
DOC-LUS-024|Official Use Only|Constituency Development Fund (CDF) & Community Projects|2025|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/11/Citizen_Engagement_Strategy.pdf|8e260d233bb0dc44ba7ff237ea7094c0|
DOC-LUS-025|Constituency Development Fund (Cdf)|Constituency Development Fund (CDF) & Community Projects|2023|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/12/APPLICATION-FORM-FOR-COMMUNITY-PROJECTS.pdf|cef41baa835fd73aa3ddeaba3ae1e55d|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/12/APPLICATION-FORM-FOR-COMMUNITY-PROJECTS.pdf
DOC-LUS-026|Management, Disbursement, Utilisation And Accountability Of The Constituency Development Fund|Constituency Development Fund (CDF) & Community Projects|2018|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/01/CDF-GUIDELINES-2.pdf|caeb6355993c3be406de541971ac4b0e|
DOC-LUS-027|National Planning and Budgeting|Constituency Development Fund (CDF) & Community Projects|2020|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/The-National-Planning-and-Budgeting-No.-1-of-2020_0-1.pdf|79880e162c6167a3d649aee39f5a29ad|
DOC-LUS-028|Solid Waste Regulation and Management [No.|Constituency Development Fund (CDF) & Community Projects|2018|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/The-Solid-Waste-Regulation-and-Management-Act-2018.pdf|4b9d556dd2c158c0babc160f7f4dd662|
DOC-LUS-029|Appendix D. Application/Proposal Form For Youth, Women And Community|Constituency Development Fund (CDF) & Community Projects|2023|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/12/FORM-FOR-YOUTH-WOMEN-AND-COMMUNITY-EMPOWERMENT-PROJECTS-1.pdf|4caf0432769126f3fa409921d535c204|
DOC-LUS-030|Proposed Community Projects|Constituency Development Fund (CDF) & Community Projects|2025|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/12/COMMUNITY-PROJECTS-FOR-2025.pdf|b662b407aa8dac0c78513672da74df66|
DOC-LUS-031|Lusangazi Town Council|Constituency Development Fund (CDF) & Community Projects|2024|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/12/Business-Stakeholder-Engagement-minutes-for-2024.pdf|2daee7f7f94921e1e9a53ee732e96bc3|
DOC-LUS-032|Secondary Boarding School Bursary Application Form|Constituency Development Fund (CDF) & Community Projects|2023|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/12/SECONDARY-BORADING-SCHOOL-BURSARY-APPLICATION-FORM-1.pdf|cf9bdb9b030ecc2467b363e8351a9482|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/12/SECONDARY-BORADING-SCHOOL-BURSARY-APPLICATION-FORM-1.pdf
DOC-LUS-033|2024 Community Projects Prioritised By Respectives Wdcs|Constituency Development Fund (CDF) & Community Projects|2024|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/05/2024-COMMUNITY-PROJECTS-PRIORITISED-BY-RESPECTIVES-WDCS-1..pdf|e44af57361c575c5562317dc92f8ee01|
DOC-LUS-034|Press Statement|Constituency Development Fund (CDF) & Community Projects|2022|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/09/Press-Statement-CDF.pdf|7114cd5a2e5b707603d691edaca77329|
DOC-LUS-035|Ministry Of Local Government And Rural|Constituency Development Fund (CDF) & Community Projects|2026|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2024/12/MDD-DIGITAL-STRATEGY_MLGRD-with-MDD-input-2024-00302_09_24-005-edited_signed.pdf|98a354ca9fb97a5f5da9aaac33eaa164|
DOC-LUS-036|Environmental Management [No. 12 of 2011 87|Constituency Development Fund (CDF) & Community Projects|2011|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/Environmetal-Mangement-Act-12-of-2011.pdf|154c8a03de3d8b996845187368ba9d33|
DOC-LUS-037|2025 Community Projects Prioritised By Respectives|Constituency Development Fund (CDF) & Community Projects|2025|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/06/2025-COMMUNITY-PROJECTS-PRIORITISED-BY-RESPECTIVES-WDCS-1..pdf|b2446bd7304748552bf2e09712cc9135|
DOC-LUS-038|The Local Authorities|Constituency Development Fund (CDF) & Community Projects|2024|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/11/Debt-Arrears-Monitoring-Mechanism-FINAL-COPY8-min.pdf|1c78bf72477999dfba014ede4cc69f0f|
DOC-LUS-039|Minsitry Of Local Government|Constituency Development Fund (CDF) & Community Projects|2024|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2024/01/Petauke.Lusangazi-Joint-IDP-Final-For-Printing.pdf|c40f109895945783e3c0e57ba18caccb|
DOC-LUS-040|Lusangazi Town Council|Constituency Development Fund (CDF) & Community Projects|2025|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/12/Stakeholder-Engagement-minutes-with-WDCs.pdf|8f323986eb276acde14166bcbdd3dc88|
DOC-LUS-041|Office Of The President|Constituency Development Fund (CDF) & Community Projects|2013|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/11/National-Decentralisation-Policy-2023-1.pdf|4fb37fe7d945c4c127722935a0c2e28c|
DOC-LUS-042|The Public Finance Management Act, 2018|Constituency Development Fund (CDF) & Community Projects|2018|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/The-Public-Finance-Management-ACT-2018.pdf|baf4b6cb69302b00a14c555e3bf63b40|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/The-Public-Finance-Management-ACT-2018.pdf#
DOC-LUS-043|PROPOSED PROJECTS BY WDCs|Constituency Development Fund (CDF) & Community Projects|2024|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/12/COMMUNITY-PROJECTS-FOR-2024.pdf|d61df578843000b2ef2a5d1bdf323f32|
DOC-LUS-044|Copies of this Statutory Instrument can be obtained from the Government Printer,|Council Administration, Acts & Policies|2012|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/si_2012_23-ON-LIQUOR-PACKAGING.pdf|ffa450f9877e16178e32c1e82e38a0c4|
DOC-LUS-045|Data Protection|Annual Budgets & Financial Statements|2021|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/Act-No.-3-The-Data-Protection-Act-2021_0-2.pdf|e0a723c6ac7099f04f9d0442f8856568|
DOC-LUS-046|[No. 7 of 2019|Constituency Development Fund (CDF) & Community Projects|2024|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/The-Food-Safety-Act-No.-7-2019.pdf|d505a22c05b2217d6132679b3d5022a9|
